0.	0.
0.01	-0.001
0.02	-0.00282842712474619
0.03	-0.005196152422706632
0.04	-0.008
0.05	-0.011180339887498949
0.06	-0.014696938456699067
0.07	-0.018520259177452137
0.08	-0.02262741699796952
0.09	-0.027
0.1	-0.0316227766016838
0.11	-0.036482872693909395
0.12	-0.041569219381653054
0.13	-0.04687216658103187
0.14	-0.05238320341483519
0.15	-0.05809475019311125
0.16	-0.064
0.17	-0.07009279563550024
0.18	-0.07636753236814713
0.19	-0.08281907992727279
0.2	-0.08944271909999159
0.21	-0.09623408959407263
0.22	-0.10318914671611545
0.23	-0.11030412503619255
0.24	-0.11757550765359254
0.25	-0.125
0.26	-0.13257450735341242
0.27	-0.1402961154130791
0.28	-0.1481620734196171
0.29	-0.1561697794069006
0.3	-0.1643167672515498
0.31	-0.1726006952477307
0.32	-0.18101933598375616
0.33	-0.18957056733575495
0.34	-0.19825236442474026
0.35000000000000003	-0.20706279240848657
0.36	-0.216
0.37	-0.2250622136210341
0.38	-0.2342477321128211
0.39	-0.24355492193753756
0.4	-0.2529822128134704
0.41000000000000003	-0.26252809373474684
0.42	-0.2721911093331301
0.43	-0.281969856544986
0.44	-0.29186298155127516
0.45	-0.3018691769624716
0.46	-0.31198717922376235
0.47000000000000003	-0.3222157662188491
0.48	-0.33255375505322443
0.49	-0.34299999999999997
0.5	-0.3535533905932738
0.51	-0.36421284985568536
0.52	-0.37497733264825495
0.53	-0.38584582413186747
0.54	-0.3968173383308749
0.55	-0.4078909167902615
0.56	-0.4190656273186815
0.5700000000000001	-0.4303405628104328
0.58	-0.44171484014010665
0.59	-0.4531875991242479
0.6	-0.46475800154489
0.61	-0.4764252302303059
0.62	-0.4881884881887323
0.63	-0.5000469977912076
0.64	-0.512
0.65	-0.5240467536394058
0.66	-0.5361865347059734
0.67	-0.5484186357154542
0.68	-0.5607423650840019
0.6900000000000001	-0.5731570465413472
0.7000000000000001	-0.5856620185738529
0.71	-0.5982566338955214
0.72	-0.610940258945177
0.73	-0.6237122734081797
0.74	-0.6365720697611543
0.75	-0.649519052838329
0.76	-0.6625526394181823
0.77	-0.6756722578291935
0.78	-0.6888773475735721
0.79	-0.7021673589679316
0.8	-0.7155417527999327
0.81	-0.7290000000000001
0.8200000000000001	-0.7425415813272683
0.8300000000000001	-0.7561659870689769
0.84	-0.7698727167525811
0.85	-0.7836612788698955
0.86	-0.7975311906126304
0.87	-0.8114819776187269
0.88	-0.8255131737289236
0.89	-0.8396243207530377
0.9	-0.8538149682454624
0.91	-0.8680846732894206
0.92	-0.8824330002895404
0.93	-0.8968595207723449
0.9400000000000001	-0.91136381319427
0.9500000000000001	-0.9259454627568516
0.96	-0.9406040612287403
0.97	-0.9553392067742221
0.98	-0.9701505037879432
0.99	-0.9850375627355538
1.	-1.
